name,property_type_name,district_name,bedroom_count,Billion VND,area
Căn góc 114m - 3PN - FLC TWIN TOWER Cầu Giấy - View siêu đỉnh - FULL nội thất - Đã có sổ,Căn hộ chung cư,Cầu Giấy,3.0,10.6,115.0
"Mặt phố Lê Quang Đạo. Liền kề KĐT Louis City. 5 tầng. Ô chờ TM. MT 5,2m. 6 Làn. ĐT70A Đại Mỗ Sắp Mở",Biệt thự/Nhà liền kề,Nam Từ Liêm,5.0,34.5,115.0
"Bán biệt thự 95m2, xây 5 tầng tại ngõ 1 Nguyễn Hoàng Tôn, Xuân La, Tây Hồ, Hà Nội. Giá 39,5 tỷ",Biệt thự/Nhà liền kề,Tây Hồ,5.0,39.5,95.0
"Hot quá! Chỉ 2,74 tỷ sở hữu ngay nhà 4T tiện ích xung quanh ngập tràn tại trung tâm xã Phụng Châu.",Nhà,Chương Mỹ,3.0,2.74,32.0
"Cực Hot phố Lê Trọng Tấn, Q. Thanh Xuân DT 65m2 4 tầng 6PN gara ôtô giá 20.x tỷ nhà dân xây thiết",Nhà,Thanh Xuân,6.0,20.5,65.0
"Chủ nhà cần chuyển đổi, giảm ngay 2 tỷ cho căn song lập 210m2 khu Hồ Bảo Sơn",Biệt thự/Nhà liền kề,Hoài Đức,5.0,36.5,210.0
"Nhà xây mới - thang máy xịn xò - nội thất ngoại nhập phố Lý Tự Trọng, Hà Đông",Nhà,Hà Đông,3.0,6.8,33.0
Nhận nhà ở ngay căn hộ 2PN 1VS 60m2 full nội thất chỉ từ 2 tỷ 780 triệu tại Vinhomes Ocean Park,Căn hộ chung cư,Gia Lâm,2.0,2.78,60.0
"Bán nhà Phú Thượng 35m2, 2 thoáng, ô tô, nội thất chủ tặng, nhỉnh 6 tỷ",Nhà,Tây Hồ,3.0,6.6,35.0
"Mua nhà hoàng mai: giá từ 80tr/m2- sở hữu ngay căn hộ cao cấp sát gamuda, ck 19%, hỗ trợ 70% gtch",Căn hộ chung cư,Hoàng Mai,2.0,7.0,86.0
Biệt thự nhà vườn 179m2 - Xóm Tuyền - Đông Xuân - Sóc Sơn,Nhà,Sóc Sơn,5.0,6.3,179.0
"Giá cực rẻ duy nhất trong tầm giá, căn hộ 66m2 2 ngủ 1WC giá rẻ nhất chỉ 3,3 tỷ. Không có căn thứ 2",Căn hộ chung cư,Hoài Đức,2.0,3.3,66.0
BÁN NHÀ PHỐ TRẦN DUY HƯNG 30M 8.4Ty NGÕ THÔNG 10M RA OTO ĐỖ NHÀ MỚI KENG XUNG QUANH FULL TIỆN ÍCH,Nhà,Cầu Giấy,3.0,8.4,30.0
"Chỉ 2,35 tỷ! Sở hữu ngay căn hộ tập thể gần Royal City full nội thất gần ô tô",Căn hộ chung cư,Thanh Xuân,2.0,2.35,30.0
"Bán nhà 4 tầng LK khu Việt Kiều Châu Âu kinh doanh, DT 85m2, MT 4.5m, giá 23 tỷ, LH",Biệt thự/Nhà liền kề,Hà Đông,5.0,23.0,85.0
Siêu phẩm mới koong nhà Thạch Bàn 6 tầng MT khủng - ô tô vào nhà giá 7.1 tỷ,Nhà,Long Biên,3.0,7.1,36.0
"Bán nhà Tả Thanh Oai, huyện Thanh Trì, thành phố Hà Nội, 3,1 tỷ",Nhà,Thanh Trì,3.0,3.1,31.0
Bán biệt thự mặt phố nguyễn thị thập 211m2 - 4t - mt 13m - 130 tỷ - kinh doanh đỉnh,Biệt thự/Nhà liền kề,Thanh Xuân,4.0,130.0,211.0
"Siêu phẩm Khương Trung 8,6 tỷ. 39m, 6 tầng, mặt tiền 4.5m, ngõ to, ba gác chạy",Nhà,Thanh Xuân,4.0,8.6,39.0
"Bán nhà Tây Hồ, LẠC LONG QUÂN. ngõ nông gần mặt phố, 33m2, sổ chính chủ chỉ 6 tỷ đồng.",Nhà,Tây Hồ,3.0,6.0,33.0
"Mặt ngõ Thượng Thanh lô góc, thang máy. DT 35m2, 6 tầng, MT 4,5m, 7,9 tỷ",Nhà,Long Biên,3.0,7.9,35.0
"Bán nhanh căn 70.4m2, 2PN, 2WC Xa La, nhà đẹp như hình full nội thất, nhanh gọn",Căn hộ chung cư,Hà Đông,2.0,3.5,70.4
"Tòa CHDV phố Tây Sơn, 72m2, 17 phòng rộng, cho thuê đạt 80 triệu/tháng, mặt ngõ thông, sẵn nội thất",Nhà,Đống Đa,17.0,14.5,72.0
Duy nhất một căn liền kề pk bình minh-vinhomes đan phượng vị trí sát hồ trung tâm giá rẻ 189 tr/m2,Biệt thự/Nhà liền kề,Đan Phượng,5.0,26.8,142.0
"Bán nhà riêng tại Huỳnh Tấn Phát, 8,9 tỷ, 43m2, view đẹp hàng hiếm",Nhà,Long Biên,4.0,8.9,43.0
"Bán gấp CC 3PN full nội thất 112m2 tại Thăng Long Number One, Cầu Giấy, Hà Nội,giá 8 tỷ, [phone_number]",Căn hộ chung cư,Cầu Giấy,3.0,8.0,112.0
"Em bán căn cao cấp 84m2 tại The Zei số 2 Lê Đức Thọ, Nam Từ Liêm",Căn hộ chung cư,Nam Từ Liêm,2.0,8.4,84.0
"Siêu phẩm Thạch Bàn DT rộng 50m2, 8,6 tỷ",Nhà,Long Biên,3.0,8.6,50.0
"Bán gấp nhà TT Nghĩa Tân, Cầu Giấy 50m2 chỉ 2.65 tỷ",Căn hộ chung cư,Cầu Giấy,2.0,2.65,50.0
Bán nhà phố Phương Mai - Q. Đống Đa - ô tô đỗ cửa - diện tích 41m2 - 4 tầng - giá nhỉnh 11 tỷ,Nhà,Đống Đa,4.0,11.5,41.0
Bạch Mai lô góc thang máy - 2 mặt ôtô - ôtô ngủ trong nhà - KD - 52m2 - MT 5m - 6T - giá 15.8 tỷ,Nhà,Hai Bà Trưng,4.0,15.8,52.0
"Giá tốt nhất khu vực - M2 Mipec Kiến Hưng - căn 2pn view đẹp, tầng đẹp, sẵn sổ",Căn hộ chung cư,Hà Đông,2.0,3.06,55.0
Thạch bàn long biên 62m2 mặt tiền 5.5m 6 tầng thang máy garra oto,Nhà,Long Biên,4.0,13.2,62.0
"Tổng hợp quỹ căn bán tại Xuân Mai, 2PN. SĐT/zalo:",Căn hộ chung cư,Hà Đông,2.0,3.4,62.0
Phố vip Ngụy Như Kon Tum - 60m2 ô tô đỗ cửa ngày đêm,Nhà,Thanh Xuân,6.0,26.8,60.0
"Chính chủ muốn bán căn hộ tại Hà Đô Park View - Cầu Giấy 4PN, 3WC, 178m2 giá: 13,5 tỷ",Căn hộ chung cư,Cầu Giấy,4.0,13.5,178.0
"Bán nhà riêng tại phụng châu , 3,05 tỷ, 35 m2, 4PN, 3WC, pháp lý đầy đủ, chỉ với uy tín",Nhà,Hà Đông,4.0,3.05,35.0
"Em cần bán gấp căn duplex 1 ngủ chung cư Penstudio giá nhỉnh 5 tỷ full nội thất đẹp, [phone_number]",Căn hộ chung cư,Tây Hồ,1.0,5.55,58.0
Phân khúc cực hiếm- trung tâm bach kinh xây- vài bước ra phố- 21m chỉ 4 tỷ,Nhà,Hai Bà Trưng,1.0,4.0,21.0
"Chính chủ bán nhà riêng đường nhân hoà, nhân chính, thanh xuân -ba gác đỗ cửa. 25m * 5t - 4.5 tỷ",Nhà,Thanh Xuân,3.0,4.5,25.0
"Bán nhà riêng ngay khu đô thị mới Tân Tây Đô, 11,5 tỷ, 68m2, giá ưu đãi",Nhà,Đan Phượng,4.0,11.5,68.0
Bán căn hộ 3 ngủ tầng trung đẹp toà Hemisco Xa La,Căn hộ chung cư,Hà Đông,3.0,4.1,79.0
Căn hộ chung cư tầng cao 2 phòng ngủ - 2vs - CT12A tặng lại toàn bộ nội thất,Căn hộ chung cư,Hoàng Mai,2.0,2.98,55.0
"Chính chủ cần bán BTLK Geleximco, Dương nội, mặt đường đôi 60m2, MT 5m, 4T, giá 15,9 tỷ",Biệt thự/Nhà liền kề,Hà Đông,5.0,15.9,60.0
Bán căn hộ CC FLC Landmark Tower Dương Khuê full nội thất giá tốt,Căn hộ chung cư,Nam Từ Liêm,3.0,8.8,155.0
"Tôi cần bán căn 69,8m2, 2pn, 2vs toà HH01 Kepler Mỗ Lao, Hà Đông [phone_number]",Căn hộ chung cư,Hà Đông,2.0,6.0,69.8
"Bán gấp siêu phẩm nhà đẹp gần phố Quang Lãm, Hà Đông, giá hơn 5 tỷ",Nhà,Hà Đông,3.0,5.4,42.0
"Chính chủ bán gấp căn hộ chung cư cao cấp Hateco Laroma, 94m2, 2PN+1, tầng cao, 11.5 tỷ.",Căn hộ chung cư,Đống Đa,2.0,11.5,94.0
"Bán Căn hộ chung cư Golden West, 5,9 tỷ,2PN 2VS 83m2 tại Nhân Chính, Thanh Xuân, Hà Nội giá ưu đãi",Căn hộ chung cư,Thanh Xuân,2.0,5.9,83.0
"Chính chủ bán nhà ngõ 12 Nguyễn Văn Huyên, Cầu Giấy, gara, kinh doanh, thang máy - 45m2 giá 18,5 tỷ",Nhà,Cầu Giấy,4.0,18.5,45.0
"Bán nhà riêng 5 tầng, 37m2 tại Tôn Đức Thắng, Thổ Quan, Đống Đa, Hà Nội, 7,4 tỷ",Nhà,Đống Đa,3.0,7.4,37.0
Nhà đẹp ở ngay - lô góc 2 thoáng - ngõ 3 gác tránh - dt 38m2 x 5 tầng - phố quan nhân - thanh xuân,Nhà,Thanh Xuân,5.0,7.0,38.0
"Bán căn góc Nguyễn Đức Cảnh, 61m2 x 7T Thang Máy, Gara, Ngõ Rộng-Thông-Nông, Nội Thất Xịn, 23 Tỷ ++",Nhà,Hoàng Mai,5.0,23.5,61.0
"Bán căn hộ 3 phòng ngủ full nội thất cao cấp hà nội paragon giá 7,5 tỷ",Căn hộ chung cư,Cầu Giấy,3.0,7.5,103.0
Chuyển nhượng căn hộ đẹp tại dự án NO09 - P Giang Biên - Long Biên. Diện tích 74m2,Căn hộ chung cư,Long Biên,2.0,4.1,74.0
"Bán gấp nhà liền kề Shophouse khu đô thị Ciputra Hà Nội, diện tích 120m2, 5 tầng, MT 6m",Shophouse,Bắc Từ Liêm,5.0,38.8,120.0
"Bán căn hộ 89 Phùng Hưng, 3,95 tỷ, 68m2, 2PN, 2WC, giá siêu hời!",Căn hộ chung cư,Hà Đông,2.0,3.95,68.0
"42m2*5t dương văn bé time city hbt- ô tô vào nhà, thang máy, full nội thất, [phone_number]",Nhà,Hai Bà Trưng,3.0,12.78,42.0
"VIP Thanh Xuân, Lô góc 3 thoáng,nở hậu, sát mặt phố, ngõ thông thẳng 64mx4TxMT4.5mx5 Ngủ, 10.8 tỷ",Nhà,Thanh Xuân,5.0,10.8,62.0
"Nhà phân lô nguyễn chính , gara oto , dt 43m2 x 6 tầng long lanh ,mặt tiền 4m ,full nội thất ở luôn",Nhà,Hoàng Mai,4.0,10.0,43.0
"Chung cư mini 158m2 - view sân vận động Mỹ Đình - 43 pkk - thu nhập khủng ~ 270tr/th, lh",Nhà,Nam Từ Liêm,43.0,50.0,158.0
"Bán nhà riêng ngõ 87 Yên Xá, Thanh Trì thông phố Nguyễn Khuyến 40m x3T 5pkk lô góc 3 mặt thoáng",Nhà,Thanh Trì,5.0,7.0,40.0
Chính chủ cần bán cực nhanh: 3N góc rộng có đồ (90m2 chỉ 4.2tỷ) ở luôn Gemek cách BigC Mỹ Đình 5km,Căn hộ chung cư,Hoài Đức,3.0,4.2,90.0
Bán nhà lô góc phố Hồng Mai ngõ thông gần ô tô full nội thất giá tốt,Nhà,Hai Bà Trưng,4.0,9.5,45.0
Bán biệt thự KĐT Mỹ Đình 2 200 m2 x 4 tầng MT 10 K/D ở đẳng cấp Phố Bùi Xuân Phái 70 tỷ,Biệt thự/Nhà liền kề,Nam Từ Liêm,4.0,70.0,200.0
"Ko ảo, chính chủ gửi bán CC Roman Plaza, Tố Hữu 69m 4.86 tỷ, 78m 5.3 tỷ, LH [phone_number]",Căn hộ chung cư,Nam Từ Liêm,2.0,4.86,69.5
"Bán gấp căn hộ 70m², full nội thất, giá tốt nhất khu đô thị Thanh Hà Cienco 5",Căn hộ chung cư,Thanh Oai,2.0,2.28,70.0
"Cực phẩm Khương Hạ, 40m2, 5 tầng - ngõ thông - 3 gác tránh - full nội thất",Nhà,Thanh Xuân,4.0,7.65,38.0
Vinhomes Skylake chính chủ chuyển công tác gửi bán 3PN 2VS 96m2 giá 10tỷ.Giá tốt nhất thị trường,Căn hộ chung cư,Nam Từ Liêm,3.0,9.6,96.0
"Bán nhà riêng 2,08 tỷ, 14m2 tại Dương Văn Bé, Vĩnh Tuy, Hai Bà Trưng, Hà Nội",Nhà,Hai Bà Trưng,2.0,2.08,14.0
"Bán căn chung cư Ecohome 3. Siêu đẹp sổ đỏ chính chủ. Đông Ngạc, Bắc Từ Liêm",Căn hộ chung cư,Bắc Từ Liêm,2.0,4.15,70.0
"Bán căn góc Kepler Tower - DT 103m2 - 3PN 2WC - Full nội thất - Giá 8,9 tỷ - LH [phone_number]!",Căn hộ chung cư,Hà Đông,3.0,8.9,103.0
Nhỉnh 6 tỷ sở hữu ngay căn hộ 72m2 trung tâm Tây Hồ,Nhà,Tây Hồ,4.0,6.5,72.0
Cực phẩm - bán gấp - thang máy - Tam Trinh - Hoàng Mai - 70m2 - MT 6 m - 12tỷ3,Nhà,Hoàng Mai,4.0,12.3,70.0
"Siêu dự án nhà ven đô,dt (30-60m) gần trục đông la-đại thành-ql6, 1km tiện ích đủ cả,giá từ 3,55 tỷ",Nhà,Hoài Đức,4.0,3.55,40.0
"Đẹp nhất tân mai , ô tô tránh , kinh doanh , đẳng cấp thượng lưu , giá tốt , 90m2, mt5,5m , 23 tỷ",Nhà,Hoàng Mai,5.0,23.0,90.0
"Bán nhà ngõ 371 Đại Mỗ 32m2, 5 tầng, 6.75 tỷ",Nhà,Nam Từ Liêm,4.0,6.75,32.0
"Bán nhà riêng tại Linh Quang Văn Chương,Đống Đa,Hà Nội,8,6 tỷ,46m2, 4PN, 5WC,mặt tiền 6m, Thang Máy",Nhà,Đống Đa,4.0,8.6,46.0
"Căn 4 ngủ, 133.3m2 tầng trung K35 HPC Landmark",Căn hộ chung cư,Hà Đông,4.0,7.5,133.3
"Bán nhà LÔ GÓC Cổ Loa, Đông Anh, thiết kế cực đẹp ạ. Nhỉnh 4 tỷ đầy đủ nội thất cơ bản",Nhà,Đông Anh,3.0,4.5,40.0
"Chính chủ cần bán căn hộ 2pn+1, full đẹp, giá tốt. LH: [phone_number] để biết thêm thông tin chi tiết",Căn hộ chung cư,Bắc Từ Liêm,3.0,8.5,85.5
"BÁN NHÀ CỰ KHỐI LONG BIÊN- VỊ TRÍ ĐẸP, ĐẮC ĐỊA - VIEW THOÁNG - NGÕ SIÊU NÔNG - OTO ĐỖ CỬA NHÀ 31M2",Nhà,Long Biên,3.0,5.67,31.0
"(Chính chủ) bán căn 2 ngủ 2wc 92m2, căn thương mại sổ đỏ chính chủ. Giá 10,99 tỷ 93 Láng Hạ",Căn hộ chung cư,Đống Đa,2.0,10.99,92.0
NHÀ ĐẸP 5 Tầng LÔ GÓC TT HAI BÀ SÁT PHỐ BẠCH MAI - DT37m2 TK sang xịn chỉ hơn 7 tỷ - sổ vuông nét,Nhà,Hai Bà Trưng,4.0,7.8,37.0
"Phố lạc trung-bán gấp- nhà đẹp kinh doanh full nội thất- 48m x4 t, mt 4.3 m- 8 tỷ 5",Nhà,Hai Bà Trưng,5.0,8.7,48.0
"ĐỘC QUYỀN - chính chủ bán căn 88m2, giá 5,4 tỷ thu về, hàng Limited, sẵn HĐ thuê. Tầng trung, sổ đỏ",Căn hộ chung cư,Hoài Đức,2.0,5.4,88.0
"Giá rẻ nhất thị trường! Cần bán căn hộ 74m2 2N 2W tại Anland LakeView full nội thất, có ra lộc",Căn hộ chung cư,Hà Đông,2.0,5.0,74.0
Bán nhà minh khai - mặt ngõ thông gần phố - trung tâm siêu tiện ích,Nhà,Hai Bà Trưng,3.0,8.6,45.0
"Nhà đẹp 31m², ngõ 467 Lĩnh Nam Giá hợp lý, vào ở ngay",Nhà,Hoàng Mai,3.0,5.7,31.0
"Chính chủ cần bán căn hộ góc 76m, view hồ điều hòa tuyệt đẹp, tầng cao thoáng mát khu đô thị Thanh Hà Cienco 5",Căn hộ chung cư,Thanh Oai,2.0,2.68,76.0
MP Tạ Quang Bửu 30m2 5tầng MT 4m đoạn đẹp KD tốt cho thuê T1 /12tr/ tháng,Nhà,Hai Bà Trưng,3.0,16.0,30.0
"Siêu hiếm - chủ nhà cần bán gấp căn nhà La Tinh 1, DT 33,5m2 - Gía 3 tỷ 65, ngay đại học Phenikaa",Nhà,Hoài Đức,4.0,3.65,33.0
"Siêu phẩm nhà mới xây full nt ở Ngô Thì Sỹ, ngõ thông, ô tô đỗ gần. Gía 9.6 tỷ có tl",Nhà,Hà Đông,3.0,9.6,41.0
"Bán Nhà Riêng 30m2, 7.4 tỷ, 3PN, 3WC tại Dịch Vọng Hậu, Cầu Giấy, Hà Nội",Nhà,Cầu Giấy,3.0,7.4,30.0
Chính chủ bán nhanh căn góc tầng trung toà B Đại Kim Building nhà full nội thất hướng Nam mát mẻ,Căn hộ chung cư,Hoàng Mai,2.0,4.4,76.0
"Bán NP 4PN tại Cầu Cốc, 45m2, 13,5 tỷ, đẹp, nhiều tiện ích, chính chủ, Hà Nội",Nhà,Nam Từ Liêm,4.0,13.5,45.0
Quỹ căn 3 phòng ngủ giá tốt nhất thị trường tại dự án the senique - lh e tuyến nhận tt:[phone_number],Căn hộ chung cư,Gia Lâm,3.0,0.066,148.0
"Phân Lô Phạm Thận Duật 50m2*4T, ngõ to vỉa hè, ô tô chạy vòng quanh, dân trí cao, 14.9 tỷ",Nhà,Cầu Giấy,4.0,14.9,50.0
Bán nhà phố Hoa Lâm Long Biên DT 96m2*MT 4m5 ô tô dừng đỗ ngày đêm kinh doanh giá nhỉnh 18tỷ,Nhà,Long Biên,3.0,18.0,96.0
"Chính chủ bán nhà vạn bảo, phan kế bính, 62m, ô tô đỗ cửa, nhà đẹp như cc cao cấp",Căn hộ chung cư,Ba Đình,2.0,4.22,62.0
"Vũ Tông Phan, 40m2 x 5 tầng nhà dân xây chắc chắn, 30m ra phố ô tô tránh, ngõ 3 gác tránh, bán gấp",Nhà,Thanh Xuân,3.0,6.5,40.0
"Nhà mới Xuân Đỉnh 7 tầng có thang máy nội thất xịn ô tô đỗ cửa giá tốt 10,5 tỷ",Nhà,Bắc Từ Liêm,4.0,10.5,33.0
"Nhà đẹp bán tại đấu giá Mậu Lương, Hà Đông giá 12. tỷ",Nhà,Hà Đông,5.0,12.5,50.0
"Hoàng Mai - Trương Định 39m² x 5 tầng ô tô đỗ cửa gần bãi gửi xe, 8,4 tỷ",Nhà,Hoàng Mai,3.0,8.4,39.0
"Siêu phẩm Chùa Láng 6 tầng thang máy, 9 phòng full nội thất, doanh thu 45tr/ tháng, giá 9.6 tỷ",Nhà,Đống Đa,9.0,9.6,40.0
