listing_id,clean,address_variant,code_switched
65,"Nhà 3 phòng ngủ tại quận Hoài Đức, diện tích 32 mét vuông, giá dưới 5.05 tỷ đồng.","Nhà 3 PN tại Q Hoài Đức, diện tích 32 mét vuông, giá dưới 5.05 tỷ.","house 3 BR tại Hoài Đức, diện tích 32 mét vuông, giá dưới 5.05 B."
66,"Nhà tại quận Hoài Đức, diện tích 40 mét vuông, có 5 phòng ngủ, giá dưới 10.45 tỷ đồng.","Nhà Q Hoài Đức, 40 mét vuông, 5 PN, giá dưới 10.45 tỷ.","house tại Hoài Đức, 40 mét vuông, 5 BR, giá dưới 10.45 B."
67,"Tìm căn hộ chung cư tại quận Hoàng Mai, có 3 phòng ngủ, diện tích 90 mét vuông, giá dưới 7.0 tỷ đồng.","Tìm căn hộ chung cư tại Q Hoàng Mai, 3 PN, 90 mét vuông, giá dưới 7.0 tỷ.","Tìm apartment tại Hoàng Mai, 3 BR, 90 mét vuông, giá dưới 7.0 B."
73,"Nhà tại quận Tây Hồ, 4 phòng ngủ, diện tích 78 mét vuông, giá dưới 20.2 tỷ đồng","Nhà tại Q Tây Hồ, 4 PN, diện tích 78 mét vuông, giá dưới 20.2 tỷ","house tại Tây Hồ, 4 BR, diện tích 78 mét vuông, giá dưới 20.2 B"
82,"Nhà 4 phòng ngủ, diện tích 40 mét vuông, tại quận Nam Từ Liêm, giá dưới 6.8 tỷ đồng","Nhà 4 PN, diện tích 40 mét vuông, tại Q Nam Từ Liêm, giá dưới 6.8 tỷ","house 4 BR, diện tích 40 mét vuông, tại Nam Từ Liêm, giá dưới 6.8 B"
98,"Nhà tại quận Cầu Giấy, 4 phòng ngủ, diện tích 38 mét vuông, giá dưới 7.9 tỷ đồng","Nhà tại Q Cầu Giấy, 4 PN, diện tích 38 mét vuông, giá dưới 7.9 tỷ","house tại Cầu Giấy, 4 BR, diện tích 38 mét vuông, giá dưới 7.9 B"
106,"Nhà tại quận Hoàng Mai, 4 phòng ngủ, diện tích 70 mét vuông, giá dưới 12.5 tỷ đồng.","Nhà tại Q Hoàng Mai, 4 PN, diện tích 70 mét vuông, giá dưới 12.5 tỷ.","house tại Hoàng Mai, 4 BR, diện tích 70 mét vuông, giá dưới 12.5 B."
107,"Nhà 4 phòng ngủ tại quận Đống Đa, diện tích 30 mét vuông, giá dưới 7,9 tỷ đồng.","Nhà 4 PN tại Q Đống Đa, diện tích 30 mét vuông, giá dưới 7,9 tỷ.","house 4 BR tại Đống Đa, diện tích 30 mét vuông, giá dưới 7,9 B."
115,"Nhà 4 phòng ngủ tại quận Bắc Từ Liêm, diện tích 35 mét vuông, giá dưới 7,1 tỷ đồng","Nhà 4 PN tại Q Bắc Từ Liêm, diện tích 35 mét vuông, giá dưới 7,1 tỷ","house 4 BR tại Bắc Từ Liêm, diện tích 35 mét vuông, giá dưới 7,1 B"
119,"Tìm căn hộ chung cư tại quận Thanh Xuân, có 3 phòng ngủ, diện tích 90 mét vuông, giá dưới 6.5 tỷ đồng.","Tìm căn hộ chung cư tại Q Thanh Xuân, 3 PN, 90 mét vuông, giá dưới 6.5 tỷ.","Tìm apartment tại Thanh Xuân, 3 BR, 90 mét vuông, giá dưới 6.5 B."
128,"Cần bán căn hộ chung cư tại quận Tây Hồ, có 1 phòng ngủ, diện tích 58 mét vuông, giá dưới 5.9 tỷ đồng.","Cần bán căn hộ chung cư tại Q Tây Hồ, 1 PN, 58 mét vuông, giá dưới 5.9 tỷ.","Cần bán apartment tại Tây Hồ, 1 BR, 58 mét vuông, giá dưới 5.9 B."
129,"Nhà 2 phòng ngủ tại quận Đống Đa, diện tích 23 mét vuông, giá dưới 4.75 tỷ đồng","Nhà 2 PN tại Q Đống Đa, diện tích 23 mét vuông, giá dưới 4.75 tỷ","house 2 BR tại Đống Đa, diện tích 23 mét vuông, giá dưới 4.75 B"
138,"Cần bán căn hộ chung cư tại quận Hoàng Mai, có 3 phòng ngủ, diện tích 60 mét vuông, giá dưới 4.45 tỷ đồng.","Cần bán căn hộ chung cư tại Q Hoàng Mai, 3 PN, 60 mét vuông, giá dưới 4.45 tỷ.","Cần bán apartment tại Hoàng Mai, 3 BR, 60 mét vuông, giá dưới 4.45 B."
140,"Cần bán căn hộ chung cư tại quận Ba Đình, 3 phòng ngủ, diện tích 145 mét vuông, giá dưới 9.5 tỷ đồng.","Cần bán căn hộ chung cư tại Q Ba Đình, 3 PN, diện tích 145 mét vuông, giá dưới 9.5 tỷ.","Need bán apartment tại Ba Đình, 3 BR, diện tích 145 mét vuông, giá dưới 9.5 B."
142,"Nhà tại quận Cầu Giấy, có 6 phòng ngủ, diện tích 68 mét vuông, giá dưới 21.4 tỷ đồng","Nhà tại Q Cầu Giấy, 6 PN, 68 mét vuông, giá dưới 21.4 tỷ","house tại Cầu Giấy, 6 BR, 68 mét vuông, giá dưới 21.4 B"
154,"Tìm biệt thự nhà liền kề tại quận Hà Đông, có 4 phòng ngủ, diện tích 55 mét vuông, giá dưới 22.5 tỷ đồng.","Tìm biệt thự nhà liền kề tại Q Hà Đông, 4 PN, 55 mét vuông, giá dưới 22.5 tỷ.","Tìm apartment house tại Hà Đông, 4 BR, 55 mét vuông, giá dưới 22.5 B."
159,"Cần bán căn hộ chung cư tại quận Hà Đông, có 2 phòng ngủ, diện tích 68.5 mét vuông, giá dưới 3.58 tỷ đồng.","Cần bán căn hộ chung cư tại Q Hà Đông, 2 PN, 68.5 mét vuông, giá dưới 3.58 tỷ.","Need bán apartment tại Hà Đông, 2 BR, 68.5 mét vuông, price under 3.58 B."
174,"Tìm căn hộ chung cư tại quận Gia Lâm, có 2 phòng ngủ, diện tích 55.14 mét vuông, giá dưới 4.8 tỷ đồng.","Tìm căn hộ chung cư tại Q Gia Lâm, 2 PN, 55.14 mét vuông, giá dưới 4.8 tỷ.","Tìm apartment tại Gia Lâm, 2 BR, 55.14 mét vuông, giá dưới 4.8 B."
175,"Nhà 4 phòng ngủ tại quận Đống Đa, diện tích 60 mét vuông, giá dưới 13.5 tỷ đồng","Nhà 4 PN tại Q Đống Đa, diện tích 60 mét vuông, giá dưới 13.5 tỷ","house 4 BR tại Đống Đa, diện tích 60 mét vuông, giá dưới 13.5 B"
177,"Cần tìm căn hộ chung cư tại quận Nam Từ Liêm, có 2 phòng ngủ, diện tích 42 mét vuông, giá dưới 4.15 tỷ đồng.","Tìm căn hộ chung cư ở Q Nam Từ Liêm, 2 PN, 42 mét vuông, giá dưới 4.15 tỷ.","Search apartment tại Nam Từ Liêm, 2 BR, diện tích 42 mét vuông, giá dưới 4.15 B."
182,"Cần bán căn hộ chung cư tại quận Hoàng Mai, có 2 phòng ngủ, diện tích 65 mét vuông, giá dưới 3.88 tỷ đồng.","Cần bán căn hộ chung cư tại Q Hoàng Mai, có 2 PN, diện tích 65 mét vuông, giá dưới 3.88 tỷ.","Need bán apartment tại Hoàng Mai, 2 BR, diện tích 65 mét vuông, giá dưới 3.88 B."
187,"Cần tìm căn hộ chung cư tại quận Cầu Giấy, có 1 phòng ngủ, diện tích 38 mét vuông, giá dưới 3.5 tỷ đồng.","Cần tìm căn hộ chung cư tại Q Cầu Giấy, có 1 PN, diện tích 38 mét vuông, giá dưới 3.5 tỷ.","Tìm apartment tại Cầu Giấy, Q Cầu Giấy, 1 BR, diện tích 38 mét vuông, giá dưới 3.5 B."
189,"Tìm căn hộ chung cư tại quận Nam Từ Liêm, có 3 phòng ngủ, diện tích 95 mét vuông, giá dưới 7.91 tỷ đồng.","Tìm căn hộ chung cư tại Q Nam Từ Liêm, 3 PN, 95 mét vuông, giá dưới 7.91 tỷ.","Tìm apartment tại Nam Từ Liêm, 3 BR, 95 mét vuông, giá dưới 7.91 B."
195,"Nhà tại quận Thanh Xuân, diện tích 40 mét vuông, có 3 phòng ngủ, giá dưới 13.3 tỷ đồng.","Nhà Q Thanh Xuân, 40 mét vuông, 3 PN, giá dưới 13.3 tỷ.","house ở quận Thanh Xuân, 40 mét vuông, 3 BR, giá dưới 13.3 B."
204,"Cần bán căn hộ chung cư tại quận Thanh Xuân, có 4 phòng ngủ, diện tích 151 mét vuông, giá dưới 14.5 tỷ đồng.","Cần bán căn hộ chung cư tại Q Thanh Xuân, 4 PN, 151 mét vuông, giá dưới 14.5 tỷ.","Need bán apartment tại Thanh Xuân, 4 BR, 151 mét vuông, giá dưới 14.5 B."
206,"Nhà tại quận Cầu Giấy, diện tích 110 mét vuông, 2 phòng ngủ, giá dưới 60.0 tỷ đồng","Nhà Q Cầu Giấy, 110 mét vuông, 2 PN, giá dưới 60.0 tỷ","house tại Cầu Giấy, 110 mét vuông, 2 BR, giá dưới 60.0 B"
215,"Tìm căn hộ chung cư tại quận Nam Từ Liêm, có 3 phòng ngủ, diện tích 100 mét vuông, giá dưới 7,7 tỷ đồng.","Tìm căn hộ chung cư tại Q Nam Từ Liêm, 3 PN, 100 mét vuông, giá dưới 7,7 tỷ.","Search apartment tại Nam Từ Liêm, 3 BR, 100 mét vuông, price under 7,7 B."
220,"Tìm căn hộ chung cư tại quận Nam Từ Liêm, có 3 phòng ngủ, diện tích 106 mét vuông, giá dưới 6.5 tỷ đồng.","Tìm căn hộ chung cư tại Q Nam Từ Liêm, 3 PN, 106 mét vuông, giá dưới 6.5 tỷ.","Tìm apartment tại Nam Từ Liêm, 3 BR, 106 mét vuông, giá dưới 6.5 B."
230,"Nhà tại quận Hoàng Mai, có 5 phòng ngủ, diện tích 225 mét vuông, giá dưới 22.0 tỷ đồng.","Nhà tại Q Hoàng Mai, 5 PN, 225 mét vuông, giá dưới 22.0 tỷ.","house tại Hoàng Mai, 5 BR, 225 mét vuông, giá dưới 22.0 B."
232,"Tìm căn hộ chung cư tại quận Tây Hồ, có 3 phòng ngủ, diện tích 120 mét vuông, giá dưới 12.5 tỷ đồng.","Tìm căn hộ chung cư tại Q Tây Hồ, 3 PN, 120 mét vuông, giá dưới 12.5 tỷ.","Search apartment tại Tây Hồ, 3 BR, 120 mét vuông, giá dưới 12.5 B."
236,"Nhà tại quận Hoàng Mai, có 9 phòng ngủ, diện tích 50 mét vuông, giá dưới 15.6 tỷ đồng.","Nhà tại Q Hoàng Mai, 9 PN, 50 mét vuông, giá dưới 15.6 tỷ.","house tại Hoàng Mai, 9 BR, 50 mét vuông, giá dưới 15.6 B."
239,"Tìm căn hộ chung cư tại quận Nam Từ Liêm, có 2 phòng ngủ, diện tích 70 mét vuông, giá dưới 5.15 tỷ đồng.","Tìm căn hộ chung cư tại Q Nam Từ Liêm, có 2 PN, diện tích 70 mét vuông, giá dưới 5.15 tỷ.","Tìm apartment tại Nam Từ Liêm, 2 BR, diện tích 70 mét vuông, giá dưới 5.15 B."
244,"Nhà tại quận Đống Đa, có 13 phòng ngủ, diện tích 66 mét vuông, giá dưới 12.5 tỷ đồng.","Nhà tại Q Đống Đa, 13 PN, 66 mét vuông, giá dưới 12.5 tỷ.","house tại Đống Đa, 13 BR, 66 mét vuông, giá dưới 12.5 B."
245,"Cần bán căn hộ chung cư tại quận Hà Đông, diện tích 69 mét vuông, có 2 phòng ngủ, giá dưới 3.63 tỷ đồng.","Cần bán căn hộ chung cư tại Q Hà Đông, diện tích 69 mét vuông, có 2 PN, giá dưới 3.63 tỷ.","Need bán apartment tại Hà Đông, diện tích 69 mét vuông, 2 BR, giá dưới 3.63 B."
250,"Nhà tại quận Hà Đông, ba phòng ngủ, diện tích 60 mét vuông, giá dưới 22.5 tỷ đồng","Nhà Q Hà Đông, 3 PN, 60 mét vuông, giá dưới 22.5 tỷ","house tại Hà Đông, 3 BR, 60 mét vuông, price under 22.5 B"
253,"Nhà tại quận Hoàng Mai, 4 phòng ngủ, diện tích 36 mét vuông, giá dưới 9.45 tỷ đồng.","Nhà tại Q Hoàng Mai, 4 PN, 36 mét vuông, giá dưới 9.45 tỷ.","house tại Hoàng Mai, 4 BR, 36 mét vuông, giá dưới 9.45 B."
257,"Nhà tại quận Đống Đa, 4 phòng ngủ, diện tích 45 mét vuông, giá dưới 8.0 tỷ đồng","Nhà tại Q Đống Đa, 4 PN, 45 mét vuông, giá dưới 8.0 tỷ","house tại Đống Đa, 4 BR, 45 mét vuông, giá dưới 8.0 B"
268,"Tìm căn hộ chung cư tại quận Gia Lâm, có 3 phòng ngủ, diện tích 102 mét vuông, giá dưới 6.35 tỷ đồng.","Tìm căn hộ chung cư tại Q Gia Lâm, 3 PN, 102 mét vuông, giá dưới 6.35 tỷ.","Search apartment tại Gia Lâm, 3 BR, 102 mét vuông, price under 6.35 B."
269,"Cần tìm căn hộ chung cư 4 phòng ngủ tại quận Đống Đa, diện tích 150 mét vuông, giá dưới 18.0 tỷ đồng.","Tìm căn hộ chung cư 4 PN ở Q Đống Đa, 150 mét vuông, giá dưới 18.0 tỷ.","Search apartment 4 BR tại Đống Đa, 150 mét vuông, giá dưới 18.0 B."
271,"Tìm căn hộ chung cư tại quận Nam Từ Liêm, có 3 phòng ngủ, diện tích 95 mét vuông, giá dưới 6.2 tỷ đồng.","Tìm căn hộ chung cư tại Q Nam Từ Liêm, có 3 PN, diện tích 95 mét vuông, giá dưới 6.2 tỷ.","Tìm apartment tại Nam Từ Liêm, 3 BR, diện tích 95 mét vuông, giá dưới 6.2 B."
273,"Tìm căn hộ chung cư tại quận Cầu Giấy, có 3 phòng ngủ, diện tích 115 mét vuông, giá dưới 11.1 tỷ đồng.","Tìm căn hộ chung cư tại Q Cầu Giấy, có 3 PN, diện tích 115 mét vuông, giá dưới 11.1 tỷ.","Tìm apartment tại Cầu Giấy, 3 BR, diện tích 115 mét vuông, giá dưới 11.1 B."
274,"Tìm biệt thự nhà liền kề tại quận Nam Từ Liêm, có 5 phòng ngủ, diện tích 115 mét vuông, giá dưới 35.0 tỷ đồng.","Tìm biệt thự nhà liền kề tại Q Nam Từ Liêm, có 5 PN, diện tích 115 mét vuông, giá dưới 35.0 tỷ.","Tìm apartment house tại Nam Từ Liêm, 5 BR, diện tích 115 mét vuông, giá dưới 35.0 B."
275,"Tìm biệt thự nhà liền kề tại quận Tây Hồ, có 5 phòng ngủ, diện tích 95 mét vuông, giá dưới 40.0 tỷ đồng.","Tìm biệt thự nhà liền kề tại Q Tây Hồ, 5 PN, 95 mét vuông, giá dưới 40.0 tỷ.","Tìm apartment house tại Tây Hồ, 5 BR, 95 mét vuông, giá dưới 40.0 B."
281,"Nhà tại Chương Mỹ, có 3 phòng ngủ, diện tích 32 mét vuông, giá dưới 3.24 tỷ đồng.","Nhà Q Chương Mỹ, 3 PN, 32 mét vuông, giá dưới 3.24 tỷ.","house tại Chương Mỹ, 3 BR, 32 mét vuông, giá dưới 3.24 B."
299,"Nhà tại quận Thanh Xuân, có 6 phòng ngủ, diện tích 65 mét vuông, giá dưới 21.0 tỷ đồng.","Nhà tại Q Thanh Xuân, 6 PN, 65 mét vuông, giá dưới 21.0 tỷ.","house tại Thanh Xuân, 6 BR, 65 mét vuông, giá dưới 21.0 B."
305,"Tìm biệt thự nhà liền kề tại quận Hoài Đức, có 5 phòng ngủ, diện tích 210 mét vuông, giá dưới 37.0 tỷ đồng.","Tìm biệt thự nhà liền kề tại Q Hoài Đức, 5 PN, 210 mét vuông, giá dưới 37.0 tỷ.","Tìm apartment house land? Biệt thự nhà liền kề tại Hoài Đức, 5 BR, 210 mét vuông, giá dưới 37.0 B."
314,"Nhà tại quận Hà Đông, diện tích 33 mét vuông, 3 phòng ngủ, giá dưới 7.3 tỷ đồng.","Nhà tại Q Hà Đông, diện tích 33 mét vuông, 3 PN, giá dưới 7.3 tỷ.","house tại Hà Đông, diện tích 33 mét vuông, 3 BR, giá dưới 7.3 B."
320,"Tìm căn hộ chung cư tại quận Gia Lâm, có 2 phòng ngủ, diện tích 60 mét vuông, giá dưới 3,28 tỷ đồng.","Tìm căn hộ chung cư tại Q Gia Lâm, 2 PN, 60 mét vuông, giá dưới 3,28 tỷ.","Search apartment tại Gia Lâm, 2 BR, 60 mét vuông, price under 3,28 B."
356,"Nhà tại quận Tây Hồ, diện tích 35 mét vuông, 3 phòng ngủ, giá dưới 7.1 tỷ đồng.","Nhà tại Q Tây Hồ, diện tích 35 mét vuông, 3 PN, giá dưới 7.1 tỷ.","house tại Tây Hồ, diện tích 35 mét vuông, 3 BR, giá dưới 7.1 B."
362,"Cần tìm căn hộ chung cư tại quận Hoàng Mai, có 2 phòng ngủ, diện tích 86 mét vuông, giá dưới 7,5 tỷ đồng.","Tìm căn hộ chung cư ở Q Hoàng Mai, 2 PN, 86 mét vuông, giá dưới 7,5 tỷ.","Search apartment tại Hoàng Mai, 2 BR, 86 mét vuông, price under 7,5 B."
367,"Nhà tại quận Sóc Sơn, có 5 phòng ngủ, diện tích 179 mét vuông, giá dưới 6.8 tỷ đồng.","Nhà tại Q Sóc Sơn, có 5 PN, diện tích 179 mét vuông, giá dưới 6.8 tỷ.","house tại Sóc Sơn, 5 BR, diện tích 179 mét vuông, giá dưới 6.8 B."
371,"Tìm căn hộ chung cư tại quận Hoài Đức, có 2 phòng ngủ, diện tích 66 mét vuông, giá dưới 3.8 tỷ đồng.","Tìm căn hộ chung cư tại Q Hoài Đức, 2 PN, 66 mét vuông, giá dưới 3.8 tỷ.","Tìm apartment tại Hoài Đức, 2 BR, 66 mét vuông, giá dưới 3.8 B."
382,"Nhà tại quận Cầu Giấy, diện tích 30 mét vuông, 3 phòng ngủ, giá dưới 8.9 tỷ đồng.","Nhà tại Q Cầu Giấy, diện tích 30 mét vuông, 3 PN, giá dưới 8.9 tỷ.","house tại Cầu Giấy, diện tích 30 mét vuông, 3 BR, giá dưới 8.9 B."
391,"Tìm căn hộ chung cư quận Thanh Xuân có 2 phòng ngủ, diện tích 30 mét vuông, giá dưới 2.85 tỷ đồng.","Tìm căn hộ chung cư Q Thanh Xuân có 2 PN, diện tích 30 mét vuông, giá dưới 2.85 tỷ.","Tìm apartment tại Thanh Xuân có 2 BR, diện tích 30 mét vuông, giá dưới 2.85 B."
398,"Tìm biệt thự nhà liền kề tại quận Hà Đông, có 5 phòng ngủ, diện tích 85 mét vuông, giá dưới 23.5 tỷ đồng.","Tìm biệt thự nhà liền kề tại Q Hà Đông, có 5 PN, diện tích 85 mét vuông, giá dưới 23.5 tỷ.","Tìm apartment house land biệt thự nhà liền kề tại Hà Đông, 5 BR, diện tích 85 mét vuông, giá dưới 23.5 B."
403,"Nhà tại quận Long Biên, diện tích 36 mét vuông, có 3 phòng ngủ, giá dưới 7.6 tỷ đồng.","Nhà tại Q Long Biên, diện tích 36 mét vuông, 3 PN, giá dưới 7.6 tỷ.","house tại Long Biên, diện tích 36 mét vuông, 3 BR, giá dưới 7.6 B."
419,"Nhà tại quận Thanh Trì, 3 phòng ngủ, diện tích 31 mét vuông, giá dưới 3.6 tỷ đồng","Nhà tại Q Thanh Trì, 3 PN, diện tích 31 mét vuông, giá dưới 3.6 tỷ","house tại Thanh Trì, 3 BR, diện tích 31 mét vuông, giá dưới 3.6 B"
421,"Tìm biệt thự nhà liền kề tại quận Thanh Xuân, có 4 phòng ngủ, diện tích 211 mét vuông, giá dưới 130.5 tỷ đồng.","Tìm biệt thự nhà liền kề tại Q Thanh Xuân, 4 PN, 211 mét vuông, giá dưới 130.5 tỷ.","Tìm apartment/house tại Thanh Xuân, 4 BR, 211 mét vuông, giá dưới 130.5 B."
422,"Tìm nhà tại quận Thanh Xuân có 4 phòng ngủ, diện tích 39 mét vuông, giá dưới 9.1 tỷ đồng.","Tìm nhà Q Thanh Xuân, 4 PN, 39 mét vuông, giá dưới 9.1 tỷ.","Tìm house tại Thanh Xuân, 4 BR, 39 mét vuông, giá dưới 9.1 B."
425,"Nhà tại quận Tây Hồ, 3 phòng ngủ, diện tích 33 mét vuông, giá dưới 6.5 tỷ đồng.","Nhà tại Q Tây Hồ, 3 PN, diện tích 33 mét vuông, giá dưới 6.5 tỷ.","apartment tại Tây Hồ, 3 BR, diện tích 33 mét vuông, giá dưới 6.5 B."
426,"Nhà tại quận Long Biên, 3 phòng ngủ, diện tích 35 mét vuông, giá dưới 8.4 tỷ đồng","Nhà tại Q Long Biên, 3 PN, 35 mét vuông, giá dưới 8.4 tỷ","house tại Long Biên, 3 BR, 35 mét vuông, giá dưới 8.4 B"
427,"Tìm căn hộ chung cư tại quận Hà Đông, có 2 phòng ngủ, diện tích 70,4 mét vuông, giá dưới 4,0 tỷ đồng.","Tìm căn hộ chung cư tại Q Hà Đông, 2 PN, 70,4 mét vuông, giá dưới 4,0 tỷ.","Search apartment tại Hà Đông, 2 BR, 70,4 mét vuông, price under 4,0 B."
428,"Nhà tại quận Đống Đa, có 17 phòng ngủ, diện tích 72 mét vuông, giá dưới 15.0 tỷ đồng.","Nhà tại Q Đống Đa, 17 PN, 72 mét vuông, giá dưới 15.0 tỷ.","apartment tại Đống Đa, 17 BR, 72 mét vuông, giá dưới 15.0 B."
430,"Tìm biệt thự nhà liền kề tại quận Đan Phượng, có 5 phòng ngủ, diện tích 142 mét vuông, giá dưới 27.3 tỷ đồng.","Tìm biệt thự nhà liền kề tại Q Đan Phượng, 5 PN, 142 mét vuông, giá dưới 27.3 tỷ.","Tìm house tại Đan Phượng, 5 BR, 142 mét vuông, giá dưới 27.3 B."
433,"Nhà tại quận Long Biên, 4 phòng ngủ, diện tích 43 mét vuông, giá dưới 9.4 tỷ đồng","Nhà tại Q Long Biên, 4 PN, 43 mét vuông, giá dưới 9.4 tỷ","house tại Long Biên, 4 BR, 43 mét vuông, giá dưới 9.4 B"
437,"Tìm căn hộ chung cư tại quận Cầu Giấy, có 3 phòng ngủ, diện tích 112 mét vuông, giá dưới 8.5 tỷ đồng.","Tìm căn hộ chung cư tại Q Cầu Giấy, 3 PN, 112 mét vuông, giá dưới 8.5 tỷ.","Tìm apartment tại Cầu Giấy, 3 BR, 112 mét vuông, giá dưới 8.5 B."
440,"Cần bán căn hộ chung cư tại quận Nam Từ Liêm, có 2 phòng ngủ, diện tích 84 mét vuông, giá dưới 8.9 tỷ đồng.","Cần bán căn hộ chung cư tại Q Nam Từ Liêm, 2 PN, 84 mét vuông, giá dưới 8.9 tỷ.","Need bán apartment tại Nam Từ Liêm, 2 BR, 84 mét vuông, giá dưới 8.9 B."
441,"Nhà tại quận Long Biên, ba phòng ngủ, diện tích năm mươi mét vuông, giá dưới chín phẩy một tỷ đồng.","Nhà tại Q Long Biên, 3 PN, 50 mét vuông, giá dưới 9.1 tỷ.","house ở Long Biên, 3 BR, 50 mét vuông, giá dưới 9.1 B."
447,"Cần tìm căn hộ chung cư tại quận Cầu Giấy, có 2 phòng ngủ, diện tích 50 mét vuông, giá dưới 3.15 tỷ đồng.","Tìm căn hộ chung cư tại Q Cầu Giấy, 2 PN, 50 mét vuông, giá dưới 3.15 tỷ.","Search apartment tại Cầu Giấy, 2 BR, 50 mét vuông, giá dưới 3.15 B."
453,"Nhà tại quận Đống Đa, 4 phòng ngủ, diện tích 41 mét vuông, giá dưới 12.0 tỷ đồng","Nhà tại Q Đống Đa, 4 PN, 41 mét vuông, giá dưới 12.0 tỷ","house tại Đống Đa, 4 BR, 41 mét vuông, giá dưới 12.0 B"
454,"Nhà tại quận Hai Bà Trưng, 4 phòng ngủ, diện tích 52 mét vuông, giá dưới 16.3 tỷ đồng","Nhà tại Q Hai Bà Trưng, 4 PN, diện tích 52 mét vuông, giá dưới 16.3 tỷ","house tại Hai Bà Trưng, 4 BR, diện tích 52 mét vuông, giá dưới 16.3 B"
464,"Cần bán căn hộ chung cư tại quận Hà Đông, có 2 phòng ngủ, diện tích 55 mét vuông, giá dưới 3.56 tỷ đồng.","Cần bán căn hộ chung cư tại Q Hà Đông, 2 PN, 55 mét vuông, giá dưới 3.56 tỷ.","Need bán apartment tại Hà Đông, 2 BR, 55 mét vuông, giá dưới 3.56 B."
468,"Tìm nhà tại quận Long Biên, có 4 phòng ngủ, diện tích 62 mét vuông, giá dưới 13.7 tỷ đồng.","Tìm nhà ở Q Long Biên, 4 PN, 62 mét vuông, giá dưới 13.7 tỷ.","Search apartment/house tại Long Biên, 4 BR, 62 mét vuông, price under 13.7 B."
469,"Cần bán căn hộ chung cư tại quận Hà Đông, có 2 phòng ngủ, diện tích 62 mét vuông, giá dưới 3,9 tỷ đồng.","Cần bán căn hộ chung cư tại Q Hà Đông, 2 PN, 62 mét vuông, giá dưới 3,9 tỷ.","Need bán apartment tại Hà Đông, 2 BR, 62 mét vuông, giá dưới 3,9 B."
